  No   MATRICULA   NOMBRE        APELLIDO PAT.       APELLIDO MAT.     EDAD    SEXO       
0      324182           YAEL           GOMEZ             RIVAS          20       HOMBRE 
1      312766           LUNA        CALDERON             LOPEZ          17        MUJER 
2      317476         MIZAEL            RUIZ             ORTIZ          13       HOMBRE 
3      306174           LUIS            COTA          ZAMBRANO          20       HOMBRE 
4      301034            ANA        CALDERON          ZAMBRANO          18        MUJER 
5      300762         ISABEL        CALDERON            GARCIA          14        MUJER 
6      315402         DANIEL           AVALA              ARCE          21       HOMBRE 
7      313632           SAID        DEL REAL             RIVAS          17       HOMBRE 
8      302871           LUNA          MEDINA        CANDELARIO          18        MUJER 
9      307890         KARELY            RUIZ            GARCIA          19        MUJER 
10      326579         ISABEL           MERAZ            GARCIA          14        MUJER 
11      311817         MIZAEL         SANCHEZ              ARCE          15       HOMBRE 
12      319149         DANIEL          MEDINA          ZAMBRANO          19       HOMBRE 
13      323053         ISABEL           GOMEZ              ARCE          12        MUJER 
14      301909            ANA           GOMEZ            CASTRO          20        MUJER 
15      324467           LUNA           MERAZ            PULIDO          19        MUJER 
16      328227       FERNANDO            COTA            PULIDO          13       HOMBRE 
17      328758            ANA           AVALA             LOPEZ          16        MUJER 
18      305544         MIZAEL         SANCHEZ            PULIDO          13       HOMBRE 
19      319705        ALONDRA        CALDERON             ORTIZ          15        MUJER 
20      325906            MIA           PEREZ             ORTIZ          19        MUJER 
21      302012       FERNANDO           GOMEZ            MORENO          19       HOMBRE 
22      316102        OSVALDO            COTA              ARCE          12       HOMBRE 
23      327677        ALONDRA         SANCHEZ             LOPEZ          12        MUJER 
24      325305         KARELY        CALDERON            CASTRO          14        MUJER 
25      317617            ANA        CALDERON             RIVAS          17        MUJER 
26      326896        ALONDRA        DEL REAL            CASTRO          17        MUJER 
27      300131         DANIEL          MEDINA            GARCIA          18       HOMBRE 
28      328058         ISABEL           PEREZ          QUINTERO          14        MUJER 
29      327884            ANA            RUIZ            MORENO          21        MUJER 
